MONTH;ECO_COD;VALUE
Dic.24;245A000000490;-18370.81
Dic.24;245D000000640;-15134.88
Dic.24;245C000000490;-2084.85
Dic.24;2488000000640;-2026.05
Dic.24;24A4000000010;-33.70
Dic.24;245H000000490;2202.29
Dic.24;245B000000591;3805.38
Dic.24;24JM000000500;38837.55
Gen.25;2488000000544;-28885.17
Gen.25;245F000000634;-15982.80
Gen.25;245A000000490;-15216.91
Gen.25;245C000000490;-12573.01
Gen.25;245H000000490;-11467.66
Gen.25;245B000000490;-7340.30
Gen.25;245D000000640;-3416.00
Gen.25;24JM000000490;-2397.92
Gen.25;245E000000490;-1398.27
Gen.25;2488000000640;-684.99
