MONTH;DRV_COD;VALUE
Gen.23;Oneri cause passive e rischio operativo;9885.88
Gen.23;Costo parcelle su importo complessivo domanda;0.53
Gen.23;Accantonato del mese nuovi oneri;28991.21678807809
Gen.23;Numero Cause;1.0
Gen.23;Costo Medio Cause;9885.88
Gen.23;Intervento consulenti esterni gestione atti liti fiscali;0.039246274462582005
Gen.23;Oneri spese legali al netto degli accantomenti;-730300.0
Feb.23;Importo complessivo di domanda cause pendenti;64108.0
Feb.23;Costo parcelle su importo complessivo domanda;0.38
Feb.23;Costo Medio Cause;6016.47
Feb.23;Intervento consulenti esterni gestione atti liti fiscali;0.03837551766989151
Feb.23;Numero Cause;4.0
Feb.23;Accantonato del mese nuovi oneri;28478.26547849815
Feb.23;Oneri cause passive e rischio operativo;24065.9
Feb.23;Oneri spese legali al netto degli accantomenti;-5500.0
Mar.23;Numero Cause;3.0
Mar.23;Costo Medio Cause;45513.23
Mar.23;Accantonato del mese nuovi oneri;28482.463140383064
Mar.23;Oneri cause passive e rischio operativo;136539.69
Mar.23;Intervento consulenti esterni gestione atti liti fiscali;0.04157578032721453
Mar.23;Costo parcelle su importo complessivo domanda;9.89
Mar.23;Importo complessivo di domanda cause pendenti;13420.8
Mar.23;Oneri spese legali al netto degli accantomenti;-15069.74
Apr.23;Costo Medio Cause;6640.55
Apr.23;Importo complessivo di domanda cause pendenti;48905.58
Apr.23;Numero Cause;4.0
Apr.23;Costo parcelle su importo complessivo domanda;0.54
Apr.23;Intervento consulenti esterni gestione atti liti fiscali;0.03730042936320589
Apr.23;Accantonato del mese nuovi oneri;27970.92098889659
Apr.23;Oneri cause passive e rischio operativo;26562.2
Apr.23;Oneri spese legali al netto degli accantomenti;-12100.0
Mag.23;Accantonato del mese nuovi oneri;28206.30890406848
Mag.23;Importo complessivo di domanda cause pendenti;1176899.2306364665
Mag.23;Costo parcelle su importo complessivo domanda;55986.7
Mag.23;Oneri spese legali al netto degli accantomenti;549.06
Mag.23;Costo Medio Cause;27993.35
Mag.23;Intervento consulenti esterni gestione atti liti fiscali;0.04085791416209619
Mag.23;Numero Cause;2.0
Mag.23;Oneri cause passive e rischio operativo;55986.7
Giu.23;Oneri spese legali al netto degli accantomenti;-461573.21
Giu.23;Costo Medio Cause;7925.3
Giu.23;Intervento consulenti esterni gestione atti liti fiscali;0.034510717334799684
Giu.23;Costo parcelle su importo complessivo domanda;2.37
Giu.23;Oneri cause passive e rischio operativo;47551.82
Giu.23;Numero Cause;6.0
Giu.23;Importo complessivo di domanda cause pendenti;20044.0
Giu.23;Accantonato del mese nuovi oneri;27574.481654531028
Lug.23;Costo Medio Cause;29328.96
Lug.23;Importo complessivo di domanda cause pendenti;1443475.12
Lug.23;Oneri spese legali al netto degli accantomenti;411262.77
Lug.23;Costo parcelle su importo complessivo domanda;0.06
Lug.23;Accantonato del mese nuovi oneri;27570.878116711698
Lug.23;Numero Cause;3.0
Lug.23;Oneri cause passive e rischio operativo;87986.88
Lug.23;Intervento consulenti esterni gestione atti liti fiscali;0.03481226579100753
Ago.23;Importo complessivo di domanda cause pendenti;1357154.2889508335
Ago.23;Oneri cause passive e rischio operativo;9225.55
Ago.23;Oneri spese legali al netto degli accantomenti;-464502.5369681233
Ago.23;Intervento consulenti esterni gestione atti liti fiscali;0.03392063158213591
Ago.23;Costo parcelle su importo complessivo domanda;9225.55
Ago.23;Numero Cause;3.362514943435303
Ago.23;Accantonato del mese nuovi oneri;27469.548038444555
Ago.23;Costo Medio Cause;9225.55
Set.23;Oneri cause passive e rischio operativo;210800.55
Set.23;Numero Cause;3.3889708562194483
Set.23;Costo Medio Cause;210800.55
Set.23;Accantonato del mese nuovi oneri;27630.180595581627
Set.23;Oneri spese legali al netto degli accantomenti;-40141.94
Set.23;Importo complessivo di domanda cause pendenti;1365729.008184035
Set.23;Intervento consulenti esterni gestione atti liti fiscali;0.03577578678944704
Set.23;Costo parcelle su importo complessivo domanda;210800.55
Ott.23;Numero Cause;3.07540271606719
Ott.23;Costo Medio Cause;2808.35
Ott.23;Oneri cause passive e rischio operativo;2808.35
Ott.23;Importo complessivo di domanda cause pendenti;1300329.9092261868
Ott.23;Intervento consulenti esterni gestione atti liti fiscali;0.024301986999162126
Ott.23;Costo parcelle su importo complessivo domanda;4108.36
Ott.23;Accantonato del mese nuovi oneri;26559.109401726375
Ott.23;Oneri spese legali al netto degli accantomenti;-67620.57
Nov.23;Numero Cause;3.132638541639475
Nov.23;Costo parcelle su importo complessivo domanda;26966.93
Nov.23;Intervento consulenti esterni gestione atti liti fiscali;0.02638937773836992
Nov.23;Costo Medio Cause;26966.93
Nov.23;Oneri cause passive e rischio operativo;26966.93
Nov.23;Accantonato del mese nuovi oneri;26748.221428724326
Nov.23;Importo complessivo di domanda cause pendenti;1311875.3005520504
Nov.23;Oneri spese legali al netto degli accantomenti;-65902.19
Dic.23;Costo parcelle su importo complessivo domanda;70145.31
Dic.23;Oneri cause passive e rischio operativo;70145.31
Dic.23;Intervento consulenti esterni gestione atti liti fiscali;0.030579090081330598
Dic.23;Accantonato del mese nuovi oneri;27134.375045905254
Dic.23;Importo complessivo di domanda cause pendenti;1335799.918485358
Dic.23;Numero Cause;3.2475788790503817
Dic.23;Costo Medio Cause;70145.31
Dic.23;Oneri spese legali al netto degli accantomenti;25563.06
Gen.24;Importo complessivo di domanda cause pendenti;1298279.2021351026
Gen.24;Costo Medio Cause;9045.55
Gen.24;Numero Cause;3.067950293590526
Gen.24;Oneri spese legali al netto degli accantomenti;-13640.0
Gen.24;Accantonato del mese nuovi oneri;26524.79833962273
Gen.24;Oneri cause passive e rischio operativo;9045.55
Gen.24;Costo parcelle su importo complessivo domanda;6855.4
Gen.24;Intervento consulenti esterni gestione atti liti fiscali;0.024031330514035023
Feb.24;Numero Cause;3.0412467892751924
Feb.24;Accantonato del mese nuovi oneri;26433.40839666544
Feb.24;Costo Medio Cause;5967.34
Feb.24;Oneri spese legali al netto degli accantomenti;-234208.21
Feb.24;Intervento consulenti esterni gestione atti liti fiscali;0.0230579429933706
Feb.24;Oneri cause passive e rischio operativo;5967.34
Feb.24;Importo complessivo di domanda cause pendenti;1292699.8394810013
Feb.24;Costo parcelle su importo complessivo domanda;11167.34
Mar.24;Intervento consulenti esterni gestione atti liti fiscali;0.028134478017436543
Mar.24;Accantonato del mese nuovi oneri;26904.080992607007
Mar.24;Numero Cause;3.1805143342889144
Mar.24;Importo complessivo di domanda cause pendenti;1321780.0265112568
Mar.24;Oneri cause passive e rischio operativo;16020.56
Mar.24;Costo Medio Cause;16020.56
Mar.24;Oneri spese legali al netto degli accantomenti;9331.02
Mar.24;Costo parcelle su importo complessivo domanda;16020.56
Apr.24;Accantonato del mese nuovi oneri;27655.02801140618
Apr.24;Importo complessivo di domanda cause pendenti;1368140.3537525388
Apr.24;Oneri spese legali al netto degli accantomenti;146208.6
Apr.24;Costo parcelle su importo complessivo domanda;8868.59
Apr.24;Costo Medio Cause;8868.58
Apr.24;Oneri cause passive e rischio operativo;8868.58
Apr.24;Numero Cause;3.402533171386602
Apr.24;Intervento consulenti esterni gestione atti liti fiscali;0.03622743608066721
Mag.24;Costo parcelle su importo complessivo domanda;7312.5
Mag.24;Costo Medio Cause;7312.5
Mag.24;Oneri spese legali al netto degli accantomenti;-1121.6
Mag.24;Oneri cause passive e rischio operativo;7312.5
Mag.24;Importo complessivo di domanda cause pendenti;1389570.4981545697
Mag.24;Numero Cause;3.5051615795872437
Mag.24;Intervento consulenti esterni gestione atti liti fiscali;0.03996841326328171
Mag.24;Accantonato del mese nuovi oneri;28002.100269569284
Giu.24;Costo parcelle su importo complessivo domanda;78801.78
Giu.24;Importo complessivo di domanda cause pendenti;1416301.2328387583
Giu.24;Numero Cause;3.633174254516263
Giu.24;Accantonato del mese nuovi oneri;28435.163241249036
Giu.24;Oneri cause passive e rischio operativo;78801.78
Giu.24;Costo Medio Cause;78801.78
Giu.24;Oneri spese legali al netto degli accantomenti;1873.63
Giu.24;Intervento consulenti esterni gestione atti liti fiscali;0.04463468943758279
Lug.24;Costo Medio Cause;10022.02
Lug.24;Oneri cause passive e rischio operativo;10022.02
Lug.24;Costo parcelle su importo complessivo domanda;10022.02
Lug.24;Oneri spese legali al netto degli accantomenti;-16063.63
Lug.24;Numero Cause;3.4706694890493126
Lug.24;Intervento consulenti esterni gestione atti liti fiscali;0.03871111885576832
Lug.24;Accantonato del mese nuovi oneri;27885.15746652393
Lug.24;Importo complessivo di domanda cause pendenti;1382368.0875727925
Ago.24;Oneri spese legali al netto degli accantomenti;2028.0
Ago.24;Costo parcelle su importo complessivo domanda;17817.77
Ago.24;Accantonato del mese nuovi oneri;28149.58795872494
Ago.24;Costo Medio Cause;17817.77
Ago.24;Intervento consulenti esterni gestione atti liti fiscali;0.041560011268828065
Ago.24;Numero Cause;3.5488248156434015
Ago.24;Oneri cause passive e rischio operativo;17817.77
Ago.24;Importo complessivo di domanda cause pendenti;1398687.953241826
Set.24;Numero Cause;3.5848570322858397
Set.24;Oneri cause passive e rischio operativo;60867.57
Set.24;Intervento consulenti esterni gestione atti liti fiscali;0.04287344584957656
Set.24;Costo parcelle su importo complessivo domanda;60867.57
Set.24;Oneri spese legali al netto degli accantomenti;-14499.94
Set.24;Accantonato del mese nuovi oneri;28271.491986688146
Set.24;Costo Medio Cause;60867.57
Set.24;Importo complessivo di domanda cause pendenti;1406211.956589001
Ott.24;Costo Medio Cause;5690.75
Ott.24;Accantonato del mese nuovi oneri;27956.47147274952
Ott.24;Oneri cause passive e rischio operativo;5690.75
Ott.24;Numero Cause;3.4917723966087673
Ott.24;Intervento consulenti esterni gestione atti liti fiscali;0.03948035514278268
Ott.24;Importo complessivo di domanda cause pendenti;1386774.653550068
Ott.24;Oneri spese legali al netto degli accantomenti;9820.0
Ott.24;Costo parcelle su importo complessivo domanda;5690.75
Nov.24;Costo Medio Cause;120086.86
Nov.24;Accantonato del mese nuovi oneri;28014.789632268228
Nov.24;Costo parcelle su importo complessivo domanda;120086.86
Nov.24;Numero Cause;3.5090089821564203
Nov.24;Intervento consulenti esterni gestione atti liti fiscali;0.04010865752387052
Nov.24;Importo complessivo di domanda cause pendenti;1390373.8805754818
Nov.24;Oneri spese legali al netto degli accantomenti;16789.74
Nov.24;Oneri cause passive e rischio operativo;120086.86
Dic.24;Accantonato del mese nuovi oneri;27115.170394076988
Dic.24;Costo parcelle su importo complessivo domanda;58046.11
Dic.24;Importo complessivo di domanda cause pendenti;1334863.0078925379
Dic.24;Numero Cause;3.243169150807414
Dic.24;Oneri spese legali al netto degli accantomenti;-1014.56
Dic.24;Intervento consulenti esterni gestione atti liti fiscali;0.030418350904685497
Dic.24;Costo Medio Cause;58046.1
Dic.24;Oneri cause passive e rischio operativo;58046.1
Gen.25;Oneri spese legali al netto degli accantomenti;-497618.80883153074
Gen.25;Intervento consulenti esterni gestione atti liti fiscali;0.026393305009356837
Gen.25;Costo parcelle su importo complessivo domanda;7182.44
Gen.25;Importo complessivo di domanda cause pendenti;1311805.5527449793
Gen.25;Costo Medio Cause;7182.44
Gen.25;Numero Cause;3.132747719986253
Gen.25;Oneri cause passive e rischio operativo;7182.44
Gen.25;Accantonato del mese nuovi oneri;26741.49583403897
Feb.25;Numero Cause;3.19954667834629
Feb.25;Costo parcelle su importo complessivo domanda;30873.66
Feb.25;Oneri spese legali al netto degli accantomenti;-920.0
Feb.25;Importo complessivo di domanda cause pendenti;1325754.0587082768
Feb.25;Accantonato del mese nuovi oneri;26967.543688224654
Feb.25;Intervento consulenti esterni gestione atti liti fiscali;0.028828238800377517
Feb.25;Oneri cause passive e rischio operativo;30873.66
Feb.25;Costo Medio Cause;30873.66
Mar.25;Costo parcelle su importo complessivo domanda;28878.82
Mar.25;Importo complessivo di domanda cause pendenti;1314190.2233533487
Mar.25;Numero Cause;3.1441678328708047
Mar.25;Costo Medio Cause;28878.82
