ECO_GRP_0;ECO_GRP_1;DRV_COD
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - Giappone (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - India (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI - RISCHIO OPERATIVO;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CAUSE PASSIVE;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI CONTENZIOSO CREDITI;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE LEGALI NO CAUSE;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE NOTARILI;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE PER OPERAZ SOCIETARIE;Inflazione - USA (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE ALTRE;Investimenti in macchinari - Italia (% a/a)
"PARCELLE LEGALI, FISCALI, NOTARILI";PARCELLE FISCALI;Investimenti in macchinari - Italia (% a/a)
